MLS #,Status,Price,Address,City,Property Type,Beds,Baths,Square Footage,Lot Size,Price per/Sqft,Favorite,Utilities
"TB8424542","For Sale","$284,000","6033 ILLINOIS Avenue","New Port Richey","Single Family Residence",3,2,"1,020 sqft","0.17 acres","$278","Favorite","- -"
"TB8447918","For Sale","$295,000","5018 SCHOOL Road","New Port Richey","Single Family Residence",3,2,"1,376 sqft","0.24 acres","$214","Favorite","- -"
"TB8462077","For Sale","$279,999","5054 SCHOOL Road","New Port Richey","Single Family Residence",3,2,"1,368 sqft","0.12 acres","$205","","- -"
"W7881049","For Sale","$317,000","11422 FOX RUN","Port Richey","Single Family Residence",4,2,"1,839 sqft","0.12 acres","$172","Favorite","- -"
"W7880923","For Sale","$269,900","10933 PREMIER Avenue","Port Richey","Single Family Residence",3,2,"1,159 sqft","0.13 acres","$233","Favorite","- -"
"TB8416330","For Sale","$299,000","9239 PALM Avenue","Port Richey","Single Family Residence",3,2,"1,479 sqft","0.14 acres","$202","","- -"
"TB8448825","For Sale","$274,990","6923 TIERRA VERDE Street","Port Richey","Single Family Residence",3,2,"1,251 sqft","0.13 acres","$220","","- -"
"TB8418438","For Sale","$247,000","4245 CRESTFIELD Avenue","Holiday","Single Family Residence",3,2,"1,291 sqft","0.13 acres","$191","","- -"
"TB8461818","For Sale","$400,000","7124 CYPRESS KNOLL Drive","New Port Richey","Single Family Residence",3,2,"1,628 sqft","1.00 acres","$246","","- -"
"W7880499","For Sale","$269,900","6841 TIERRA LINDA Street","Port Richey","Single Family Residence",3,2,"1,275 sqft","0.11 acres","$212","","- -"
"O6290367","For Sale","$200,000","7001 HEATH Drive","Port Richey","Single Family Residence",3,2,"875 sqft","0.14 acres","$229","","- -"
"TB8441245","For Sale","$335,000","6811 KINGSTREE Court","Port Richey","Single Family Residence",3,2,"1,384 sqft","0.22 acres","$242","","- -"
"W7880625","For Sale","$324,000","3238 COLDWELL Drive","Holiday","Single Family Residence",3,2,"1,144 sqft","0.12 acres","$283","","- -"
"TB8460777","For Sale","$249,900","3314 TRASK Drive","Holiday","Single Family Residence",3,2,"1,128 sqft","0.12 acres","$222","","- -"
"W7881859","For Sale","$320,000","3243 SEFFNER Drive","Holiday","Single Family Residence",4,3,"1,600 sqft","0.13 acres","$200","","- -"
"TB8453212","For Sale","$279,000","5753 BANTAM Avenue","New Port Richey","Single Family Residence",3,2,"1,314 sqft","0.13 acres","$212","","- -"
"W7881622","For Sale","$270,000","1435 MAYBURY Drive","Holiday","Single Family Residence",4,2,"1,182 sqft","0.12 acres","$228","","- -"
"TB8461016","For Sale","$259,000","5134 RESEDA Drive","New Port Richey","Single Family Residence",3,2,"1,056 sqft","0.12 acres","$245","","- -"
"W7881795","For Sale","$225,000","11010 TAMARIX Avenue","Port Richey","Single Family Residence",3,2,"1,426 sqft","0.13 acres","$158","","- -"
"TB8461868","For Sale","$214,900","4841 MANOR Drive","New Port Richey","Single Family Residence",3,2,"970 sqft","0.12 acres","$222","","- -"
"TB8450846","For Sale","$175,000","8428 ANAY Court","New Port Richey","Single Family Residence",3,2,"950 sqft","0.14 acres","$184","","- -"
"W7881794","For Sale","$315,000","5253 FALCON Drive","Holiday","Single Family Residence",3,2,"1,345 sqft","0.13 acres","$234","","- -"
"TB8452011","For Sale","$294,900","9105 LEDGESTONE Lane","Port Richey","Single Family Residence",3,2,"1,362 sqft","0.12 acres","$217","","- -"
"W7878799","For Sale","$237,000","11019 BASQUIN Court","Port Richey","Single Family Residence",3,2,"1,445 sqft","0.15 acres","$164","","- -"
"TB8461396","For Sale","$195,000","11539 MEREDITH Lane","Port Richey","Single Family Residence",3,2,"1,310 sqft","0.18 acres","$149","","- -"
"TB8387554","For Sale","$354,900","2618 ALMOND Drive","Holiday","Single Family Residence",4,3,"2,760 sqft","0.18 acres","$129","","- -"
"W7877211","For Sale","$260,000","11947 PANAMA Avenue","New Port Richey","Manufactured Home",3,2,"1,404 sqft","0.36 acres","$185","","- -"
"W7871767","For Sale","$199,900","11743 PURDUE Street","New Port Richey","Manufactured Home",3,2,"1,480 sqft","0.35 acres","$135","","- -"
"TB8461557","For Sale","$289,900","9835 GRAY FOX Lane","Port Richey","Single Family Residence",3,2,"1,102 sqft","0.12 acres","$263","","- -"
"TB8460755","For Sale","$279,900","11234 ARECA Drive","Port Richey","Single Family Residence",4,2,"1,578 sqft","0.12 acres","$177","","- -"
"W7879901","For Sale","$274,999","7436 GULF HIGHLANDS Drive","Port Richey","Single Family Residence",3,2,"1,259 sqft","0.14 acres","$218","","- -"
"TB8434566","For Sale","$264,900","6019 7TH Avenue","New Port Richey","Single Family Residence",3,2,"1,371 sqft","0.12 acres","$193","","- -"
"TB8448698","For Sale","$289,900","7210 EMBASSY Boulevard","Port Richey","Single Family Residence",4,4,"1,336 sqft","0.13 acres","$217","","- -"
"TB8447465","For Sale","$335,000","2152 ARCADIA Road","Holiday","Single Family Residence",3,2,"1,088 sqft","0.12 acres","$308","","- -"
"TB8426010","For Sale","$269,900","7841 DATURA Lane","New Port Richey","Single Family Residence",3,2,"1,334 sqft","0.12 acres","$202","","- -"
"TB8443609","For Sale","$305,000","5633 ANDREA Drive","Holiday","Single Family Residence",3,2,"1,522 sqft","0.12 acres","$200","","- -"
"O6361251","For Sale","$249,900","6007 CORSON Avenue","New Port Richey","Single Family Residence",3,2,"1,130 sqft","0.33 acres","$221","","- -"
"TB8460317","For Sale","$300,000","4235 MANXCAT Lane","New Port Richey","Single Family Residence",3,2,"1,549 sqft","0.17 acres","$194","","- -"
"TB8397021","For Sale","$99,500","6526 CHAR Lane","New Port Richey","Mobile Home",3,2,"720 sqft","0.12 acres","$138","","- -"
"TB8408046","For Sale","$302,900","3633 BLACKHAWK Drive","New Port Richey","Single Family Residence",3,2,"1,702 sqft","0.14 acres","$178","","- -"
"TB8454481","For Sale","$280,000","7024 IVANHOE Drive","Port Richey","Single Family Residence",3,2,"1,704 sqft","0.12 acres","$164","","- -"
"TB8460497","For Sale","$250,000","6149 2ND Avenue","New Port Richey","Single Family Residence",3,2,"1,248 sqft","0.12 acres","$200","","- -"
"TB8432331","For Sale","$254,000","7811 FOX HOLLOW Drive","Port Richey","Single Family Residence",3,2,"1,032 sqft","0.12 acres","$246","","- -"
"W7879184","For Sale","$250,000","7136 BIMINI Drive","Port Richey","Single Family Residence",3,2,"1,335 sqft","0.12 acres","$187","","- -"
"TB8446419","For Sale","$358,900","7626 CYPRESS Drive","New Port Richey","Single Family Residence",4,2,"1,582 sqft","0.14 acres","$227","","- -"
"TB8460225","For Sale","$269,000","11234 LINDEN Lane","Port Richey","Single Family Residence",3,2,"1,811 sqft","0.12 acres","$149","","- -"
"TB8435743","For Sale","$330,000","7421 ASHWOOD Drive","Port Richey","Single Family Residence",4,2,"1,690 sqft","0.14 acres","$195","","- -"
"TB8459526","For Sale","$265,000","5038 GALAXY Drive","New Port Richey","Single Family Residence",4,2,"1,328 sqft","0.12 acres","$200","","- -"
"TB8439587","For Sale","$275,000","4923 ALCEA Street","New Port Richey","Single Family Residence",3,2,"1,202 sqft","0.14 acres","$229","","- -"
"TB8459433","For Sale","$300,000","6041 13TH Avenue","New Port Richey","Single Family Residence",3,2,"1,427 sqft","0.14 acres","$210","","- -"
"W7881282","For Sale","$275,000","5506 CARLTON Road","New Port Richey","Single Family Residence",3,2,"2,007 sqft","0.41 acres","$137","","- -"
"TB8409061","For Sale","$263,000","7923 FOXBLOOM Drive","Port Richey","Single Family Residence",3,2,"1,496 sqft","0.13 acres","$176","","- -"
"TB8459313","For Sale","$290,000","8812 HONEYCOMB Drive","Port Richey","Single Family Residence",3,2,"1,434 sqft","0.16 acres","$202","","- -"
"W7880922","For Sale","$253,000","7514 BERGAMOT Drive","Port Richey","Single Family Residence",3,3,"1,726 sqft","0.18 acres","$147","","- -"
"TB8404709","For Sale","$299,989","7505 BRAMBLEWOOD Drive","Port Richey","Single Family Residence",3,2,"1,510 sqft","0.60 acres","$199","","- -"
"TB8457541","For Sale","$210,000","9821 EL CAMINO REAL Avenue","Port Richey","Single Family Residence",3,2,"1,298 sqft","0.14 acres","$162","","- -"
"TB8458142","For Sale","$255,000","7924 HALSEY Drive","Port Richey","Single Family Residence",3,2,"1,272 sqft","0.14 acres","$200","","- -"
"TB8458025","For Sale","$278,900","1324 VIKING Drive","Holiday","Single Family Residence",3,2,"1,393 sqft","0.12 acres","$200","","- -"
"TB8456722","For Sale","$160,000","9732 WARRICK Street","Port Richey","Mobile Home",3,2,"1,006 sqft","0.13 acres","$159","","- -"
"W7881478","For Sale","$245,000","3608 BROMPTON Drive","Holiday","Single Family Residence",3,2,"1,370 sqft","0.12 acres","$179","","- -"
"TB8449498","For Sale","$299,900","5025 STATE ROAD 54","New Port Richey","Single Family Residence",4,2,"1,173 sqft","0.13 acres","$256","","- -"
"TB8400200","For Sale","$305,000","4627 TROPICAL LANE","Holiday","Single Family Residence",4,2,"1,520 sqft","0.12 acres","$201","","- -"
"TB8455069","For Sale","$225,000","1205 CALVARY Road","Holiday","Manufactured Home",3,2,"1,701 sqft","0.20 acres","$132","","- -"
"TB8456556","For Sale","$435,000","10620 FAWN Drive","New Port Richey","Single Family Residence",3,3,"1,802 sqft","1.16 acres","$241","","- -"
"W7881440","For Sale","$319,900","11345 HANIS Street","New Port Richey","Single Family Residence",3,3,"1,080 sqft","0.27 acres","$296","","- -"
"W7878661","For Sale","$249,000","8717 SPANISH MOSS Drive","Port Richey","Single Family Residence",4,2,"1,360 sqft","0.12 acres","$183","","- -"
"W7881400","For Sale","$325,000","8621 ROBILINA Road","Port Richey","Single Family Residence",3,2,"1,252 sqft","0.14 acres","$260","","- -"
"TB8427728","For Sale","$315,000","9110 RAINBOW Lane","Port Richey","Single Family Residence",3,2,"1,712 sqft","0.13 acres","$184","","- -"
"W7881360","For Sale","$225,000","9867 JEROME Drive","New Port Richey","Manufactured Home",4,2,"2,006 sqft","0.62 acres","$112","","- -"
"W7876679","For Sale","$260,000","12419 LAMONT Avenue","New Port Richey","Single Family Residence",3,2,"1,200 sqft","0.18 acres","$217","","- -"
"TB8455755","For Sale","$365,000","7825 GLASCOW Drive","New Port Richey","Single Family Residence",3,2,"1,594 sqft","0.15 acres","$229","","- -"
"W7880371","For Sale","$299,000","11633 FOX Run","Port Richey","Single Family Residence",3,2,"2,228 sqft","0.20 acres","$134","","- -"
"W7878998","For Sale","$319,900","6812 HILLS Drive","New Port Richey","Single Family Residence",3,2,"1,436 sqft","0.17 acres","$223","","- -"
"O6344046","For Sale","$179,900","4201 WIGGINS Drive","New Port Richey","Single Family Residence",3,2,"1,246 sqft","0.14 acres","$144","","- -"
"TB8454870","For Sale","$249,998","7825 BIRCHWOOD Drive","Port Richey","Single Family Residence",3,2,"1,394 sqft","0.12 acres","$179","","- -"
"TB8454658","For Sale","$269,900","7321 MAYFIELD Drive","Port Richey","Single Family Residence",4,2,"1,472 sqft","0.12 acres","$183","","- -"
"TB8453599","For Sale","$345,000","6431 TAYLOR Court","New Port Richey","Single Family Residence",3,2,"1,471 sqft","0.17 acres","$235","","- -"
"TB8438099","For Sale","$222,900","5301 DAWN Lane","Holiday","Single Family Residence",3,2,"1,154 sqft","0.12 acres","$193","","- -"
"TB8451894","For Sale","$300,000","3322 FAIRMOUNT Drive","Holiday","Single Family Residence",3,2,"1,558 sqft","0.12 acres","$193","","- -"
"W7878420","For Sale","$319,000","8977 LAKE Drive","New Port Richey","Single Family Residence",3,2,"1,986 sqft","0.23 acres","$161","","- -"
"W7881185","For Sale","$385,997","6031 POLK Street","New Port Richey","Single Family Residence",3,2,"1,374 sqft","0.17 acres","$281","","- -"
"W7879422","For Sale","$265,000","4936 MILE STRETCH Drive","Holiday","Single Family Residence",3,2,"1,244 sqft","0.15 acres","$213","","- -"
"TB8436690","For Sale","$284,500","3707 PINEHURST Drive","Holiday","Single Family Residence",3,2,"1,534 sqft","0.15 acres","$185","","- -"
"W7875596","For Sale","$240,000","7535 CHRISTINA Lane","Port Richey","Single Family Residence",4,2,"1,506 sqft","0.13 acres","$159","","- -"
"W7871410","For Sale","$375,000","5742 MEADOWLANE Street","New Port Richey","Single Family Residence",3,3,"1,702 sqft","0.11 acres","$220","","- -"
"S5125352","For Sale","$255,000","10336 OAK HILL Drive","Port Richey","Single Family Residence",3,2,"1,096 sqft","0.15 acres","$233","","- -"
"TB8452195","For Sale","$299,999","9006 LUNAR Lane","Port Richey","Single Family Residence",3,2,"1,260 sqft","0.13 acres","$238","","- -"
"TB8451708","For Sale","$289,900","4151 OAKFIELD Avenue","Holiday","Single Family Residence",3,2,"1,093 sqft","0.13 acres","$265","","- -"
"TB8433012","For Sale","$309,000","9001 LIDO Lane","Port Richey","Single Family Residence",3,2,"1,700 sqft","0.14 acres","$182","","- -"
"TB8412598","For Sale","$259,000","7148 RAMOR Lane","New Port Richey","Single Family Residence",3,2,"1,173 sqft","0.14 acres","$221","","- -"
"W7880982","For Sale","$330,000","8031 GABRIEL Drive","Port Richey","Single Family Residence",3,2,"1,408 sqft","0.15 acres","$234","","- -"
